"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"9127935Y8","Bill","52-Week","02/27/1980","03/04/1980","02/26/1981","","",""
"912827KM3","Note","5-Year 2-Month","02/26/1980","03/03/1980","05/15/1985","","Semi-Annual","14.375%"
"9127934G8","Bill","13-Week","02/25/1980","02/28/1980","05/29/1980","","",""
"9127935C6","Bill","26-Week","02/25/1980","02/28/1980","08/28/1980","","",""
"912827KL5","Note","2-Year","02/20/1980","02/29/1980","02/28/1982","","Semi-Annual","13.875%"
"9127934F0","Bill","13-Week","02/15/1980","02/21/1980","05/22/1980","","",""
"9127935B8","Bill","26-Week","02/15/1980","02/21/1980","08/21/1980","","",""
"9127934E3","Bill","13-Week","02/11/1980","02/14/1980","05/15/1980","","",""
"9127935A0","Bill","26-Week","02/11/1980","02/14/1980","08/14/1980","","",""
"912810CM8","Bond","30-Year","02/07/1980","02/15/1980","02/15/2010","","Semi-Annual","11.750%"
"912827KK7","Note","7-Year 3-Month","02/06/1980","02/15/1980","05/15/1987","","Semi-Annual","12.000%"
"912827KJ0","Note","3-Year 6-Month","02/05/1980","02/15/1980","08/15/1983","","Semi-Annual","11.875%"
"9127934D5","Bill","13-Week","02/04/1980","02/07/1980","05/08/1980","","",""
"9127934Z6","Bill","26-Week","02/04/1980","02/07/1980","08/07/1980","","",""
"9127935X0","Bill","52-Week","01/30/1980","02/05/1980","01/29/1981","","",""
"9127934C7","Bill","13-Week","01/28/1980","01/31/1980","05/01/1980","","",""
"9127934Y9","Bill","26-Week","01/28/1980","01/31/1980","07/31/1980","","",""
"912827KH4","Note","2-Year","01/23/1980","01/31/1980","01/31/1982","","Semi-Annual","11.500%"
"9127934B9","Bill","13-Week","01/21/1980","01/24/1980","04/24/1980","","",""
"9127934X1","Bill","26-Week","01/21/1980","01/24/1980","07/24/1980","","",""
"9127934A1","Bill","13-Week","01/14/1980","01/17/1980","04/17/1980","","",""
"9127934W3","Bill","26-Week","01/14/1980","01/17/1980","07/17/1980","","",""
"9127933Z7","Bill","13-Week","01/07/1980","01/10/1980","04/10/1980","","",""
"9127934V5","Bill","26-Week","01/07/1980","01/10/1980","07/10/1980","","",""
"912810CL0","Bond","15-Year 1-Month","01/03/1980","01/10/1980","02/15/1995","","Semi-Annual","10.500%"
"9127935W2","Bill","52-Week","01/02/1980","01/08/1980","01/02/1981","","",""
"9127933Y0","Bill","13-Week","12/28/1979","01/03/1980","04/03/1980","","",""
"9127934U7","Bill","26-Week","12/28/1979","01/03/1980","07/03/1980","","",""
"912810CK2","Bond","30-Year","11/01/1979","11/15/1979","11/15/2009","","Semi-Annual","10.375%"
"912827KC5","Note","10-Year","10/31/1979","11/15/1979","11/15/1989","","Semi-Annual","10.750%"
